id,x,y
1969,-20.924332,-37.59473
686,-66.28555,-23.945162
1301,70.72713,22.231058
1160,68.61795,14.933877
960,-63.504955,-20.705193
192,0.7477303,-8.21413
1211,-58.20743,-24.840214
781,67.59171,14.028836
78,42.33691,-21.092455
566,8.742065,-62.99303
87,24.057919,27.210123
169,-59.44698,-9.773122
845,2.1146376,-52.32345
630,-58.41866,-12.003977
801,-35.760006,-47.639496
1931,18.190323,13.077789
1526,27.142576,15.34366
1985,-28.21685,-51.50161
352,49.06246,-33.172527
1303,-33.200222,-40.58324
957,-3.9135883,58.805286
718,0.3326221,59.11831
899,-71.01979,-16.50849
1709,-26.270638,-44.94916
1674,-20.866663,18.722
387,14.187686,64.77971
1779,-56.84965,-18.491564
1684,-2.8451607,59.64213
1541,21.877838,-53.29265
1727,-26.653345,-42.84641
336,63.787624,9.991567
1363,-20.14468,12.805639
30,-13.211232,22.244637
433,-24.245691,-40.560555
732,-61.477844,25.339535
1591,-1.1134353,59.982758
1517,-54.188145,-9.209576
1206,-69.217476,-15.459822
1976,8.412422,-18.037266
1784,-16.76883,18.565882
1580,48.81815,-24.553053
196,20.956669,17.691086
477,58.607754,24.668653
1227,-25.367544,-34.187473
1352,25.51456,21.00519
313,28.156977,15.094926
824,-16.021914,17.639624
333,8.13916,60.713913
562,23.87725,22.541155
1843,28.123577,22.15736
997,27.89742,18.645382
6,-16.338188,14.418189
739,-16.357313,24.521627
1009,-32.045734,-49.212616
1410,7.722123,-22.89074
1286,18.651768,-50.281746
1082,49.420437,-26.893713
945,42.305992,-29.952848
816,72.03277,15.170054
1895,61.94185,8.114713
754,10.175726,-54.76965
1553,-35.397026,-44.371807
1194,-55.205982,37.64756
698,-69.80502,-13.668008
1586,50.359535,-20.914106
889,9.836187,-50.980247
1550,-10.210905,23.466969
23,4.9382215,-53.559753
190,-3.9314053,60.17222
1356,-52.439,20.510433
1418,72.2685,10.6642885
456,15.819588,26.060991
890,35.550293,20.434
688,-62.720295,34.007988
687,-36.810886,-37.31157
84,46.528297,-19.114416
696,-14.861508,21.305885
1857,-11.626484,14.120379
1891,-64.53369,-11.173303
293,-29.193329,-38.136097
256,-15.377976,13.307674
1111,-11.501348,21.553898
81,63.79567,12.017773
1740,4.6807957,53.32347
753,-20.539442,23.452078
1475,-54.776276,-11.172393
206,31.370718,29.23101
947,-27.616978,-46.030605
740,0.23330697,61.789635
1083,-37.277046,-42.17257
1364,45.2699,-30.451233
1092,13.723142,-57.673653
1256,13.5745,25.72745
961,-27.86422,-33.046223
1516,32.40189,17.50356
324,0.13246585,-17.46747
1552,-67.7187,-19.136236
1281,0.40942734,62.889553
1355,4.9115353,-16.995892
430,5.9785852,-19.712353
268,-29.558882,-54.22941
929,-18.96075,21.355139
625,2.6564279,-6.642466
1592,-35.80528,-50.28009
1284,-72.89263,-17.766153
1216,13.738916,13.324378
499,10.965204,-14.579367
1588,-18.528547,8.31928
1559,9.03778,-21.054594
406,70.187355,13.672059
1514,18.324049,-49.01666
1838,-28.597042,-50.378754
1275,-51.54258,-12.171824
372,30.506609,21.295918
1570,4.5984507,-18.428162
795,-26.106405,-39.609978
1367,-17.358051,26.820831
1169,57.46967,15.429171
1635,-62.5903,28.156664
1549,1.8553629,-11.579726
720,56.8678,19.342072
1793,-17.156895,20.31
27,22.685036,-64.85626
860,-69.131386,33.488556
1163,-69.94861,-20.405716
1875,-53.377266,24.787622
483,-3.5942175,-11.819444
575,-14.085057,9.236502
1823,69.363075,15.419672
1087,4.0803785,-17.039454
282,-5.3807735,-11.127878
1655,-61.58654,33.485935
1700,29.174425,24.831165
504,-63.686363,-5.2559094
838,21.593008,18.904552
515,-36.217148,-40.05213
1783,-50.263172,32.399662
1716,-21.559334,25.507908
806,54.678635,15.038301
840,5.1828537,63.414932
802,-37.672466,-41.649693
22,-64.73988,-20.765133
603,17.070965,22.705032
1464,-7.940077,20.245432
1057,-53.054497,-18.752575
339,48.64928,-22.23594
217,-13.130613,19.586199
746,-37.75551,-45.02436
1612,-25.616684,19.043411
714,2.4628704,56.588257
278,19.518902,16.496553
9,-3.6333637,-22.6287
614,-4.006441,-13.331637
1688,58.033142,-25.27857
411,0.35363895,56.56993
241,0.3311859,57.213192
1666,18.54073,24.628159
520,8.333262,-55.43139
402,-57.47651,37.253864
371,50.70272,-17.2707
952,49.751698,-23.52374
1203,64.26586,18.387575
1425,-57.61756,31.609312
1551,-13.758859,20.638357
828,-62.914265,-16.372925
415,-12.903099,29.558416
1912,50.199028,-25.50824
793,-57.467205,20.457525
1951,46.739925,-24.811878
1064,65.87215,13.12888
1751,-57.315365,-19.801987
678,-12.280293,12.949855
1040,43.34597,-22.768816
1726,25.307417,27.595566
533,-5.3456855,60.575985
1884,4.3819814,-50.355816
1563,15.951809,17.143578
1292,16.818075,-45.052994
716,24.803926,20.356293
1741,69.327255,12.859116
931,-63.240036,32.010017
1536,-21.405212,-42.709187
1315,-1.1889944,-12.65116
1027,-56.04862,34.33875
1164,19.697365,-58.54517
1209,25.511362,28.904243
528,22.730408,24.801167
780,-7.4900403,59.84226
1669,39.060802,-23.850735
1576,12.306549,54.693794
365,-17.588383,-45.15942
1072,51.244904,-34.86766
933,62.317207,18.942076
1171,-34.41228,-53.32341
535,1.2048347,-14.047875
366,-5.965626,-8.69635
381,9.424565,-27.996288
656,-19.060606,-46.84828
682,-24.86303,12.329359
617,-72.51448,-22.360859
19,8.656135,43.57034
1518,25.628103,-50.845825
1616,16.212307,-52.957375
337,-60.293125,-11.253876
113,7.3178396,-56.397217
560,15.373622,-47.88808
1987,66.762375,10.174061
1512,-66.74868,-16.149542
1416,11.539086,-63.53308
1268,-64.07442,-11.305289
1717,6.079299,-14.475588
1529,42.080967,-26.60693
1001,-29.051744,-37.238857
1468,-38.135384,-37.928223
29,18.970505,15.027426
25,-41.335396,-41.881145
1288,-22.43757,19.938185
1602,-19.572378,11.246086
975,16.97545,-57.60262
810,-57.2123,-23.088629
1168,-62.42453,29.639809
251,65.65527,22.540342
116,14.903037,22.965548
745,-13.050739,12.347503
666,-6.9005866,-17.13971
1739,-61.514977,-21.081598
348,-65.69204,-22.587234
490,-24.241123,26.10037
1099,-63.58669,24.495644
1350,15.097681,-46.0516
982,-63.104565,35.034958
1648,-65.13702,-12.208412
117,22.137844,23.341747
254,-60.08754,-12.911159
1886,-13.009667,15.436648
476,-1.32924,61.612804
1603,-9.375618,13.368619
1785,-0.7776012,-23.445786
1573,-63.69785,36.151535
198,-32.220207,-47.192406
1521,-62.476234,-14.39005
1487,62.807533,17.337286
1978,-23.756186,-42.12926
64,5.067852,48.792328
1440,-4.7421017,-15.749928
445,-55.999046,-14.792262
585,59.341927,19.621948
1444,-63.457073,25.412622
1200,-47.38829,23.313673
1252,1.0476338,65.01105
303,47.81078,-15.737675
304,1.7468574,62.51915
737,-46.299294,-30.761932
401,0.30509567,52.499207
1371,22.909725,-62.04409
1853,1.6380587,60.33048
853,68.550224,6.3129864
417,-59.076733,20.110493
1668,-19.866592,16.57483
1023,53.4626,-22.274508
970,57.53469,-16.514894
1822,8.256215,64.558975
1265,-69.0288,-20.917042
1933,7.655293,-12.44805
330,6.556002,48.464203
1052,11.798471,-48.663544
236,51.04806,-18.942816
523,44.600094,-25.157824
