id,x,y
1969,-9.709296,-46.364872
686,-35.810814,-61.078175
1160,50.4344,64.930855
1301,43.35546,63.964127
566,61.45689,-6.0337048
960,-34.399967,-77.15203
192,13.854375,-16.468927
78,41.423664,26.050415
1211,-33.20135,-77.16566
781,50.06835,53.957863
1526,1.7625507,48.20983
1303,-14.793873,-48.20498
732,-65.62743,-31.425406
87,-11.726287,62.246307
845,52.93951,-20.67201
169,-46.474854,-63.902218
387,-43.19287,42.220978
718,-53.152374,31.050867
1674,-7.9985948,3.784032
899,-36.724827,-69.17234
1709,0.6749669,-57.51708
801,0.23644379,-57.54083
1931,1.1501592,57.033768
1779,-46.073246,-70.25341
1363,-4.955901,-0.9210167
630,-48.246902,-66.21289
957,-29.703049,33.194332
336,52.132954,54.49269
1517,-43.170612,-58.648594
433,-1.4980218,-41.778877
1684,-47.08057,44.359676
352,41.613014,17.110144
1541,61.352707,-3.1966288
1727,-5.678366,-45.741337
1206,-37.41575,-70.52856
1976,36.784657,-14.256252
1784,-20.11374,-8.670901
30,-17.384878,5.738317
1227,-4.6023293,-40.472622
1985,1.4276068,-60.86157
1580,30.10081,14.136882
477,50.4317,60.55966
945,44.266743,7.99035
1352,-3.0425866,53.60273
997,3.4552467,56.541496
1194,-49.19105,-13.058317
562,-5.546189,61.935734
333,-50.91708,27.08161
1553,-3.2104514,-60.73364
1356,-70.03416,-19.878702
1843,0.48857895,61.61547
1591,-40.28451,25.53123
23,59.944912,-18.855543
1082,33.60366,16.98155
81,40.993732,65.43239
816,57.2237,61.106087
698,-39.146782,-62.9085
753,-14.52763,5.7034564
1286,59.125504,-6.676092
1857,-21.982624,10.097959
754,53.461967,-13.734719
1891,-40.0509,-73.98976
313,2.3544695,47.90506
196,-0.6734281,54.60712
1410,31.30122,-18.61363
696,-15.206794,-1.8456941
824,-15.454167,7.107033
483,12.390784,-27.222124
1895,50.5605,50.034946
1364,35.47408,9.1983595
1111,-12.901232,7.453634
1475,-26.481005,-59.000336
739,-19.50169,-6.431655
1552,-36.065613,-72.214325
1550,-19.962217,0.44756567
1425,-56.804058,-26.330217
687,-8.481986,-48.973648
293,-3.595545,-46.8018
740,-51.048874,32.28683
838,-4.440028,64.735085
720,51.59957,56.12483
381,22.85796,-5.5922475
1823,47.555416,64.33905
1281,-53.2189,33.326733
1783,-58.79527,-14.377025
1875,-65.959,-24.403252
406,53.186512,59.29302
1009,4.0062804,-45.430958
1418,57.8132,58.762997
1092,65.732574,-18.213135
6,-14.565346,0.011942076
372,0.30685166,49.80553
1586,37.408802,18.854849
688,-53.00704,-34.04277
793,-58.546383,-22.936514
1635,-59.224113,-26.706005
860,-47.988235,-33.48939
1655,-55.1696,-28.260336
499,26.859436,-6.440207
1256,-10.83922,41.48487
27,54.436512,-24.611351
456,-5.541494,49.23467
1838,-0.69730717,-60.602695
1216,-13.566909,63.899925
1169,45.038036,53.4441
190,-56.26846,30.25191
1592,5.6249824,-57.783047
1514,51.081387,-7.2518487
84,26.770033,15.717851
1951,33.403454,31.513906
1666,-14.826972,51.479134
268,8.10204,-49.063297
1793,-5.261546,9.08224
1367,-22.688553,-0.21557158
430,22.468012,-11.408802
504,-39.682583,-55.518227
1549,22.996855,-13.791059
1740,-37.35501,33.948647
1612,-24.103045,6.514092
25,-9.783068,-57.31334
1602,-13.760404,-4.0251107
575,-13.028139,4.19176
1570,31.21011,-25.541859
206,-6.447223,53.799534
585,46.742783,55.24911
1516,6.4288464,51.211273
515,-6.62638,-53.850983
625,18.429274,-15.889244
929,-17.030725,3.7559443
890,5.5075483,56.892796
1163,-32.630672,-69.893265
1275,-40.282066,-60.383385
889,59.487297,-14.818833
947,-1.003691,-48.141804
1559,31.578161,-16.801619
415,-28.319132,10.982426
1284,-38.681858,-69.73897
1355,26.56262,-19.10704
402,-53.314415,-17.018385
282,18.752832,-22.685768
251,43.867775,58.7712
795,-8.041927,-41.60945
1057,-32.922504,-63.181023
1751,-43.44004,-65.63914
256,-0.6890444,4.122829
1716,-24.979511,2.7722714
828,-42.798546,-77.85743
22,-27.25735,-73.187904
961,-10.746362,-43.313644
1464,-14.488177,12.37539
1551,-17.118221,7.1939163
324,15.901881,-14.2819605
1588,-17.868105,-5.97966
1064,47.20961,58.064167
716,-3.6389322,54.825375
217,-15.970234,8.668563
1987,54.084427,63.986206
241,-46.47218,24.685331
1083,-3.0770228,-56.601917
278,2.827163,54.5233
806,41.33335,52.113937
371,35.856968,22.741444
1164,72.25877,-13.156915
1027,-52.61686,-19.266706
975,72.28702,-17.570835
1669,30.931154,8.34381
1209,-6.837471,49.765003
714,-45.43592,28.11826
933,47.32381,62.69105
1616,67.80104,-9.318132
614,16.747288,-21.978409
678,-9.220125,-5.051628
1203,43.69036,56.57072
982,-48.487766,-25.290123
1040,24.843498,24.539272
1741,53.66706,60.108044
560,54.850338,-7.0290093
365,59.95038,-25.756783
1444,-61.670914,-28.13201
1072,41.1579,20.95027
1350,54.984913,-11.898497
1518,68.278015,0.30279347
19,-15.216368,46.79748
1536,2.743228,-42.515335
1912,32.205124,14.173595
931,-50.11058,-29.127977
656,2.7101653,-38.70368
746,-3.6696234,-58.574333
1099,-60.901527,-29.191841
1576,-39.007233,40.510803
1688,29.01162,23.733747
339,28.614838,15.470318
1648,-41.770195,-74.14777
780,-54.254528,24.802288
1468,-6.996281,-51.772224
1288,-11.707344,3.9419098
1884,56.019016,-20.504042
116,-12.394935,47.569065
1292,52.457703,-10.299701
1700,-6.288405,47.908943
520,63.228447,-19.094051
1268,-36.141464,-67.9139
603,-9.4809,64.324104
533,-56.10028,28.722086
528,-8.131831,57.59654
682,-13.393151,17.045563
117,-14.253322,53.790623
411,-43.808495,25.958633
445,-45.909805,-68.561844
429,66.78026,-7.331792
1717,20.059534,-15.320282
1726,-7.625928,55.107773
348,-27.685984,-71.64104
1416,59.308197,-13.226167
952,27.8356,14.0179825
113,63.572,-22.886087
666,17.257006,-26.742609
1656,-9.595873,12.073121
29,-0.8856209,52.56135
1563,-9.398944,44.634468
617,-37.947742,-59.326546
254,-39.448223,-75.46048
802,-5.1180887,-56.70916
1521,-44.863194,-77.36541
